Symbol,Name,High,Low,Close,Volume,URL
AAB,Aberdeen International Inc,0.0500,0.0450,0.0500,608,000,https://eoddata.com//stockquote/TSX/AAB.htm
AAUC.DB.U,Allied Gold Corporation 8.75%,92.50,92.50,92.50,1,000,https://eoddata.com//stockquote/TSX/AAUC.DB.U.htm
AAV.DB,Advantage Energy Ltd 5.00 Pct Debs,101.0,101.0,101.0,31,000,https://eoddata.com//stockquote/TSX/AAV.DB.htm
ABX,Barrick Gold Corp,24.76,24.30,24.74,4,237,875,https://eoddata.com//stockquote/TSX/ABX.htm
ACAA,Arrow Canadian Advantage Alternative,20.66,20.65,20.65,200,https://eoddata.com//stockquote/TSX/ACAA.htm
ACB.WS.U,Aurora Cannabis Inc Ws USD,0.0050,0.0050,0.0050,10,000,https://eoddata.com//stockquote/TSX/ACB.WS.U.htm
ACD.DB,Accord Financial Corp 7.00 Pct Debs,98.00,96.00,96.00,20,000,https://eoddata.com//stockquote/TSX/ACD.DB.htm
ACO.Y,Atco Ltd Cl II,41.00,40.74,41.00,200,https://eoddata.com//stockquote/TSX/ACO.Y.htm
ACX,Act Energy Technologies Ltd,6.890,6.510,6.800,17,201,https://eoddata.com//stockquote/TSX/ACX.htm
AD.DB.A,Alaris Eqty Part Inc Trust 6.25 Pct Debs,101.0,101.0,101.0,5,000,https://eoddata.com//stockquote/TSX/AD.DB.A.htm
ADCO,Adcore Inc,0.2100,0.2100,0.2100,500,https://eoddata.com//stockquote/TSX/ADCO.htm
ADN,Acadian Timber Corp,17.03,16.92,17.00,3,321,https://eoddata.com//stockquote/TSX/ADN.htm
ADW.B,Andrew Peller Ltd Cl B,4.980,4.820,4.820,1,200,https://eoddata.com//stockquote/TSX/ADW.B.htm
AEM,Agnico Eagle Mines Ltd,102.2,98.9,101.8,980,591,https://eoddata.com//stockquote/TSX/AEM.htm
AFN,Ag Growth International Inc,52.79,51.91,52.51,21,751,https://eoddata.com//stockquote/TSX/AFN.htm
AFN.DB.G,Ag Growth Intl Inc 5.25 Pct Debs,100.3,99.8,100.3,24,000,https://eoddata.com//stockquote/TSX/AFN.DB.G.htm
AFN.DB.I,Ag Growth International Inc 5 Pct Debs,126.9,126.9,126.9,35,000,https://eoddata.com//stockquote/TSX/AFN.DB.I.htm
AG,First Majestic Silver Corp,9.200,8.880,9.070,675,511,https://eoddata.com//stockquote/TSX/AG.htm
AGI,Alamos Gold Inc Cls A,24.03,22.97,23.88,633,462,https://eoddata.com//stockquote/TSX/AGI.htm
AGRI.WT.U,Agrinam Acquisition Corporation Warrants,0.0050,0.0050,0.0050,1,000,https://eoddata.com//stockquote/TSX/AGRI.WT.U.htm
AI.DB.C,Atrium Mortgage Inv Corp 5.30 Pct Debs,99.99,99.99,99.99,1,611,000,https://eoddata.com//stockquote/TSX/AI.DB.C.htm
AI.DB.E,Atrium Mortgage Inv Corp 5.60 Pct Debs,100.00,99.50,99.51,41,999,https://eoddata.com//stockquote/TSX/AI.DB.E.htm
AI.DB.G,Atrium Mortgage Inv Corp 5.10 Pct Debs,96.65,96.65,96.65,31,000,https://eoddata.com//stockquote/TSX/AI.DB.G.htm
AIF,Altus Group Ltd,55.60,54.74,54.91,74,541,https://eoddata.com//stockquote/TSX/AIF.htm
AII,Almonty Industries Inc,0.6300,0.6100,0.6200,65,000,https://eoddata.com//stockquote/TSX/AII.htm
AIM.PR.A,Aimia Inc Pref Ser 1,14.90,14.45,14.90,13,800,https://eoddata.com//stockquote/TSX/AIM.PR.A.htm
